folder,video_file,video_path,caption
1549 Furniture Plastic Melamine,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1549 Furniture Plastic Melamine/btf_sequence.mp4,"The video clip depicts a close-up view of a wooden surface, possibly a table or a floor. The wood grain is visible, and the surface appears to be smooth and polished. The overall scene is well-lit, creating a clear and detailed view of the wooden surface."
Painted Wood 007 A,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Painted Wood 007 A/btf_sequence.mp4,"The video clip features a close-up view of a wooden surface, likely a table or a floor, with a textured appearance. The surface shows signs of wear and tear, with visible scratches, dents, and small imperfections scattered across it. The camera remains stationary throughout the clip, providing a consistent view of the wooden surface. The overall atmosphere of the video is one of simplicity and natural beauty,"
729 Wood Painted Peeling,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/729 Wood Painted Peeling/btf_sequence.mp4,"The video clip features a close-up view of a wooden surface with a distinctive pattern. The wood appears to be light-colored, possibly white or off-white, with darker streaks running diagonally across the surface. The texture of the wood is visible, showing the natural grain and some minor imperfections such as small knots and cracks. The camera remains stationary throughout the clip, providing a stable and detailed view of the wooden surface. The overall scene is simple and focused, highlighting the natural beauty and unique characteristics of the wood."
1464 Sand Dunes,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1464 Sand Dunes/btf_sequence.mp4,"The video clip depicts a close-up view of a textured surface, likely a piece of fabric or a similar material. The surface appears to be made up of a series of wavy, undulating lines that create a sense of movement and depth. The texture is somewhat rough and uneven, with variations in the height and spacing of the waves. The overall effect is one"
Metal Plates 015 B,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Metal Plates 015 B/btf_sequence.mp4,"The video clip features a close-up view of a metallic surface with a repeating pattern of octagonal shapes. The surface appears to be made of a shiny, reflective material, likely stainless steel or aluminum, given its polished and smooth texture. The octagonal shapes are arranged in a grid-like pattern, creating a sense of order and symmetry. Each octagon is surrounded by a smaller, darker octagon, which adds depth and contrast to the overall design. The reflections on the surface suggest that the material is highly polished and possibly"
Food 0001,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Food 0001/btf_sequence.mp4,"The video clip features a close-up view of a textured surface with a repeating pattern. The pattern consists of vertical lines that alternate between two shades of green, creating a striped effect. The lines are not perfectly straight but have a slight wavy or irregular appearance, giving the surface a somewhat organic feel. The background is uniformly filled with this pattern, and there is a slight variation in the intensity of the green shades, adding depth and dimension to the visual. The overall scene is static, with no movement or changes in the pattern or background. The focus is solely on the detailed texture and color variations of the striped pattern."
1018 Ice 001 Bitmap,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/1018 Ice 001 Bitmap/btf_sequence.mp4,"The video clip features a close-up view of a textured surface, which appears to be a piece of white leather or a similar material. The surface is characterized by a series of intricate, crisscrossing lines and patterns that create a sense of depth and complexity. The texture is rough and uneven, with some areas appearing more worn or scuffed than others. The overall effect is one of a detailed and tactile material, inviting the viewer to explore the texture and patterns in more detail."
Fabric 106,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabric 106/btf_sequence.mp4,"The video clip features a close-up view of a textured surface. The texture appears to be a series of vertical ridges or grooves, creating a ribbed pattern. These ridges are evenly spaced and run parallel to each other, giving the surface a consistent and repetitive visual rhythm. The ridges are relatively thin and appear to be made of a material that is slightly raised above the flat surface. The overall appearance is clean and uniform, with no visible imperfections or variations in the texture"
Fabrics 0062,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabrics 0062/btf_sequence.mp4,"The video clip features a close-up view of a woven fabric surface. The fabric appears to be made of a series of interwoven threads, creating a pattern of interconnected loops and spaces. The pattern is consistent throughout the visible area, with each loop and space evenly spaced and aligned. The overall effect is one of simplicity and elegance, with the woven pattern providing a sense of depth and dimension."
Fabric 0002,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabric 0002/btf_sequence.mp4,"The video clip features a mesmerizing pattern that appears to be a seamless tile design. The pattern is composed of interlocking geometric shapes, primarily diamonds and triangles, arranged in a symmetrical manner. The color palette is dominated by shades of brown and beige, creating a warm and earthy tone. The shapes are outlined in a lighter shade, which enhances their visibility against the darker background. The pattern repeats itself across the frame, giving a sense of continuity and harmony. The overall effect is one of intricate detail and visual appeal, reminiscent of traditional tile designs found in various cultures."
Fabric 05,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Fabric 05/btf_sequence.mp4,"The video clip features a close-up view of a textured surface. The surface appears to be a fabric or a material with a woven pattern. The color of the material is a deep, rich red, and the texture is consistent throughout the frame. The weave is tight and uniform, creating a grid-like pattern that covers the entire visible area. The overall appearance is clean and smooth, with no visible imperfections or defects. The material seems to be of high quality, suggesting it could be used for various purposes such as clothing, upholstery, or other"
Wood 068,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wood 068/btf_sequence.mp4,"The video clip depicts a close-up view of a smooth, light-colored surface, possibly a table or a countertop. The surface appears to be made of a material with a fine grain, such as wood or a polished stone."
Wicker 001,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Wicker 001/btf_sequence.mp4,"The video clip showcases a close-up view of a woven fabric or material. The texture is characterized by a repeating pattern of interwoven threads, creating a grid-like appearance. The threads are primarily in shades of beige and brown, with occasional variations in color. The weave is tight and consistent, suggesting a high-quality construction. The material appears to be durable and possibly used for upholstery, clothing, or other textile applications. There are no other objects or movements in the frame, focusing solely on the woven fabric."
Plastic002 048,btf_sequence.mp4,/mnt/iusers01/fatpou01/compsci01/v67771bx/scratch/btf_dataset_output6/Plastic002 048/btf_sequence.mp4,"The video clip features a close-up view of a yellow surface, possibly a wall or a piece of furniture. The surface appears to be textured, with visible scratches and marks, giving it a worn and used appearance."
